countryKey,europeanUnionIndicator
AD,
AE,
AF,
AG,
AI,
AL,
AM,
AN,
AO,
AQ,
AR,
AS,
AT,1
AU,
AW,
AZ,
BA,
BB,
BD,
BE,1
BF,
BG,
BH,
BI,
BJ,
BL,
BM,
BN,
BO,
BR,
BS,
BT,
BV,
BW,
BY,
BZ,
CA,
CC,
CD,
CF,
CG,
CH,
CI,
CK,
CL,
CM,
CN,
CO,
CR,
CS,
CU,
CV,
CX,
CY,1
CZ,1
DE,1
DJ,
DK,1
DM,
DO,
DZ,
EC,
EE,1
EG,
EH,
ER,
ES,1
ET,
EU,
FI,1
FJ,
FK,
FM,
FO,
FR,1
GA,
GB,1
GD,
GE,
GF,
GH,
GI,
GL,
GM,
GN,
GP,
GQ,
GR,1
GS,
GT,
GU,
GW,
GY,
HK,
HM,
HN,
HR,
HT,
HU,1
ID,
IE,1
IL,
IN,
IO,
IQ,
IR,
IS,
IT,1
JM,
JO,
JP,
KE,
KG,
KH,
KI,
KM,
KN,
KP,
KR,
KW,
KY,
KZ,
LA,
LB,
LC,
LI,
LK,
LR,
LS,
LT,1
LU,1
LV,1
LY,
MA,
MC,
MD,
MG,
MH,
MK,
ML,
MM,
MN,
MO,
MP,
MQ,
MR,
MS,
MT,1
MU,
MV,
MW,
MX,
MY,
MZ,
NA,
NC,
NE,
NF,
NG,
NI,
NL,1
NO,
NP,
NR,
NT,
NU,
NZ,
OM,
OR,
PA,
PE,
PF,
PG,
PH,
PK,
PL,1
PM,
PN,
PR,
PS,
PT,1
PW,
PY,
QA,
RE,
RO,1
RU,
RW,
SA,
SB,
SC,
SD,
SE,1
SG,
SH,
SI,1
SJ,
SK,1
SL,
SM,
SN,
SO,
SR,
ST,
SV,
SY,
SZ,
TC,
TD,
TF,
TG,
TH,
TJ,
TK,
TL,
TM,
TN,
TO,
TP,
TR,
TT,
TV,
TW,
TZ,
UA,
UG,
UM,
UN,
US,
UY,
UZ,
VA,
VC,
VE,
VG,
VI,
VN,
VU,
WF,
WS,
YE,
YT,
ZA,
ZM,
ZW,
